Year,Return
1986,21.742701523524005
1987,18.1857077436219
1988,9.247724781203544
1989,0.8527494813409692
1990,14.354485108092085
1991,13.228409986252784
1992,11.325913532360294
1993,11.585202846385933
1994,-0.03506022644958172
1995,19.90181734242652
1996,3.3108453200662207
1997,1.9621665280031169
1998,14.279533933421884
1999,-4.162218257431775
2000,0.45976864090222036
2001,-1.1172152740716395
2002,20.64806179131004
2003,15.177077072424117
2004,10.336490938435272
2005,-7.099936586837016
2006,5.892688691987529
2007,11.805008209008017
2008,10.44015425695525
2009,2.825003015351637
2010,4.287613927920509
2011,6.58528180162888
2012,1.7976241528019192
2013,-3.994092579059897
2014,-0.170429607233544
2015,-3.438818373757043
2016,1.4064698712306254
2017,7.2045702323518395
2018,-0.5344183365070656
2019,5.657575604988821
2020,10.539112508884676
2021,-7.584721506847672
2022,-18.360176904777045
2023,5.226696522233616
