observation_date,Return M
31-Dec-1946,
31-Jan-1947,0.00177056736423015
28-Feb-1947,0.00203963149732252
31-Mar-1947,0.00275947505356022
30-Apr-1947,0.000303517167169883
31-May-1947,0.00239627440605828
30-Jun-1947,-0.00240250685391957
31-Jul-1947,0.00305557638884451
31-Aug-1947,0.00367700712561672
30-Sep-1947,-0.00222014219404738
31-Oct-1947,-0.00773972441725186
30-Nov-1947,-0.0074284079929687
31-Dec-1947,-0.011362095334352
31-Jan-1948,0.00154453782244336
29-Feb-1948,0.00305691211422621
31-Mar-1948,0.00366898664651557
30-Apr-1948,0.00249581020549236
31-May-1948,0.00955027033512158
30-Jun-1948,-0.00691938071075677
31-Jul-1948,-0.00114341728645621
31-Aug-1948,0.000482849347127945
30-Sep-1948,0.00218069968924053
31-Oct-1948,-0.000304157387902076
30-Nov-1948,0.00521608019980982
31-Dec-1948,0.00403305839838987
31-Jan-1949,0.00508496155635267
28-Feb-1949,0.00309596110273804
31-Mar-1949,0.00451364986620872
30-Apr-1949,0.00154233609919435
31-May-1949,0.00279412482780798
30-Jun-1949,0.00960569890911999
31-Jul-1949,0.0036146383995446
31-Aug-1949,0.00783806571050032
30-Sep-1949,0.000482725148867907
31-Oct-1949,0.00166338852486194
30-Nov-1949,0.00202288871891046
31-Dec-1949,0.00526911529684487
31-Jan-1950,-0.00664241821901885
28-Feb-1950,-0.000902351484648234
31-Mar-1950,-0.00105443841581669
30-Apr-1950,-0.00102541357596884
31-May-1950,7.45316664222029E-05
30-Jun-1950,-0.00231465049957505
31-Jul-1950,0.00253879045324663
31-Aug-1950,0.00101487840489278
30-Sep-1950,-0.00209160894703712
31-Oct-1950,-0.00275619035179603
30-Nov-1950,-0.000137363666510959
31-Dec-1950,0.00218640943974545
31-Jan-1951,0.00529379617252813
28-Feb-1951,-0.0034314194066013
31-Mar-1951,-0.00486302752626609
30-Apr-1951,-0.00556249546563121
31-May-1951,-0.0119726700932523
30-Jun-1951,0.00709686552381909
31-Jul-1951,0.0117364867278584
31-Aug-1951,0.00532069474170344
30-Sep-1951,-0.00525228541068641
31-Oct-1951,-0.00489371600644413
30-Nov-1951,0.000591471586645355
31-Dec-1951,0.00165353089284122
31-Jan-1952,0.00646966257571429
29-Feb-1952,-0.0113219026238196
31-Mar-1952,0.0119616080597551
30-Apr-1952,0.00936557799589741
31-May-1952,0.00535674381379901
30-Jun-1952,-0.000732594086706032
31-Jul-1952,-0.00244984347549868
31-Aug-1952,-0.00543781824713444
30-Sep-1952,-0.00938531209664278
31-Oct-1952,0.0159324750913722
30-Nov-1952,0.00367818845069175
31-Dec-1952,-0.00113278379684106
31-Jan-1953,-0.00594509601297147
28-Feb-1953,-0.00385148349267848
31-Mar-1953,9.97462356483168E-05
30-Apr-1953,-0.019127794821887
31-May-1953,-0.0229744130102099
30-Jun-1953,0.0284961561639242
31-Jul-1953,0.00376934399233499
31-Aug-1953,-0.00610072991265155
30-Sep-1953,0.0404773351430587
31-Oct-1953,-0.00273509539719303
30-Nov-1953,-0.00146842050616119
31-Dec-1953,0.0256382136752615
31-Jan-1954,0.00109570004174682
28-Feb-1954,0.00434293797645192
31-Mar-1954,0.00590555180768441
30-Apr-1954,0.00932076369435392
31-May-1954,-0.0130857646427095
30-Jun-1954,0.00936274081336276
31-Jul-1954,0.00535273667748251
31-Aug-1954,-0.00388672260774724
30-Sep-1954,0.0019499164352805
31-Oct-1954,0.00335306263789323
30-Nov-1954,-0.00269456272399499
31-Dec-1954,0.0012844506966375
31-Jan-1955,-0.0100700274003023
28-Feb-1955,-0.00342727813368255
31-Mar-1955,0.00337434226400249
30-Apr-1955,-0.00319756171740249
31-May-1955,0.00505627291371489
30-Jun-1955,-0.00855753117858789
31-Jul-1955,-0.00864035833408159
31-Aug-1955,0.00435628353003657
30-Sep-1955,0.00863155088244937
31-Oct-1955,0.00937087105483952
30-Nov-1955,-0.00546760246251715
31-Dec-1955,-0.000245909472639473
31-Jan-1956,0.012068804960299
29-Feb-1956,0.000190844712467771
31-Mar-1956,-0.0178550450453992
30-Apr-1956,0.00306810571006666
31-May-1956,0.0169447995007567
30-Jun-1956,-0.00356258242464329
31-Jul-1956,-0.0166937241331233
31-Aug-1956,-0.0158812482594324
30-Sep-1956,0.00896464300019918
31-Oct-1956,-0.00804302286175011
30-Nov-1956,0.000564303536152252
31-Dec-1956,-0.0147007479750855
31-Jan-1957,0.0448344803882276
28-Feb-1957,-0.00929202677434074
31-Mar-1957,0.00179739641985385
30-Apr-1957,-0.0102279609286298
31-May-1957,-0.00926208027269455
30-Jun-1957,-0.0142389848462443
31-Jul-1957,0.00356906871033732
31-Aug-1957,0.00979569669445544
30-Sep-1957,-0.0136248361615537
31-Oct-1957,0.0110891040795425
30-Nov-1957,0.0511127156887805
31-Dec-1957,0.0283848324552202
31-Jan-1958,-0.00651192867958504
28-Feb-1958,0.0126675839586795
31-Mar-1958,0.0142641720823734
30-Apr-1958,0.0100721259991144
31-May-1958,-0.00519598126604272
30-Jun-1958,-0.00466552828368144
31-Jul-1958,-0.0133233097616239
31-Aug-1958,-0.0451897694649253
30-Sep-1958,0.00353600761668966
31-Oct-1958,0.00658029020893767
30-Nov-1958,0.00829081006207121
31-Dec-1958,-0.0169709209737288
31-Jan-1959,-0.00496930043861066
28-Feb-1959,0.0193983060185172
31-Mar-1959,-0.0114788656586316
30-Apr-1959,-0.0146332053998698
31-May-1959,0.00478243497215223
30-Jun-1959,-0.00181657557727259
31-Jul-1959,-0.0106306785430566
31-Aug-1959,-0.00313246764681279
