Year,Return
1988,23.991
1989,17.645635570323655
1990,-16.48042777815864
1991,19.912172699663465
1992,-4.230982483280748
1993,24.882065357234765
1994,5.026327838827846
1995,19.460278362088683
1996,13.199551119464264
1997,14.995144007382736
1998,21.96581825572878
1999,26.816324654204433
2000,-13.936184915569521
2001,-15.912483316177845
2002,-18.978191312841634
2003,34.63436310593329
2004,15.754519598079339
2005,11.373599127243878
2006,21.52865589770077
2007,12.184716164404632
2008,-41.84545396652259
2009,35.407389104468386
2010,13.212911199217
2011,-6.863052162493332
2012,16.8012790635933
2013,23.44009657687508
2014,4.705455507679892
2015,-1.840168723384588
2016,8.484965913358756
2017,24.62429216460317
2018,-8.929177914110452
2019,27.29643968854822
2020,16.82387327735987
2021,19.03652303490823
2022,-17.96077046490317
