Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1999-09-30,100,100.02,100,100.02
1999-10-31,100.05,100.62,100.05,100.62
1999-11-30,100.64,101.46,100.64,101.46
1999-12-31,101.48,102.32,101.47,102.32
2000-01-31,102.45,103.52,102.45,103.52
2000-02-29,103.44,103.99,103.44,103.98
2000-03-31,103.9,105.2,103.9,105.14
2000-04-30,105.22,105.93,105.21,105.93
2000-05-31,106.13,106.88,106.13,106.88
2000-06-30,106.93,107.81,106.93,107.81
2000-07-31,108.1,109.25,108.1,109.25
2000-08-31,109.3,110.24,109.3,110.24
2000-09-30,110.28,111.29,110.28,111.29
2000-10-31,111.45,112.57,111.45,112.57
2000-11-30,112.67,114.14,112.67,114.14
2000-12-31,114.17,115.72,114.17,115.72
2001-01-31,115.83,117.04,115.83,117.04
2001-02-28,117.31,118.9,117.24,118.9
2001-03-31,118.94,120.11,118.9,120.11
2001-04-30,120.11,121.08,120.11,120.97
2001-05-31,121.09,121.67,120.87,121.67
2001-06-30,121.72,122.81,121.45,122.43
2001-07-31,122.58,124.06,121.59,124.06
2001-08-31,124.16,125.57,123.82,125.57
2001-09-30,125.71,128.37,125.67,127.35
2001-10-31,128.5,134.62,128.5,134.51
2001-11-30,134.74,138.43,134.74,138.3
2001-12-31,138.49,140.31,138.07,140.31
2002-01-31,140.34,143.31,140.34,143.18
2002-02-28,143.16,143.2,142.18,143.15
2002-03-31,143.17,144.51,143.17,144.51
2002-04-30,144.67,146.15,144.5,146.15
2002-05-31,146.32,147.92,146.3,147.92
2002-06-30,148.06,151.41,148.06,151.41
2002-07-31,151.55,152.25,150.2,152.25
2002-08-31,152.34,154.58,152.34,154.58
2002-09-30,154.83,157.31,154.83,157.31
2002-10-31,157.73,160.62,157.51,160.62
2002-11-30,160.8,163.2,160.78,162.43
2002-12-31,162.44,164.34,162.38,164.34
2003-01-31,164.64,165.4,164.43,164.71
2003-02-28,164.85,166.72,164.56,166.72
2003-03-31,166.78,167.96,166.68,167.96
2003-04-30,168.17,169.48,168.17,169.48
2003-05-31,169.68,171.56,169.68,171.41
2003-06-30,171.65,172.01,171.39,171.72
2003-07-31,171.88,171.96,170.33,170.43
2003-08-31,170.62,171.57,170.18,171.3
2003-09-30,171.4,171.56,170.74,171.35
2003-10-31,171.34,171.68,169.07,169.07
2003-11-30,169.02,169.02,167.02,167.08
2003-12-31,166.99,169.51,166.83,169.51
2004-01-31,169.5,170.15,168.93,169.61
2004-02-29,169.3,170.04,168.98,170.02
2004-03-31,170.02,171.22,169.97,171.03
2004-04-30,171,171.15,169.37,169.37
2004-05-31,169.7,169.72,168.56,169.39
2004-06-30,169.38,169.96,168.99,169.71
2004-07-31,169.8,170.16,169.27,170.16
2004-08-31,170.33,172.1,170.22,171.72
2004-09-30,171.72,173.63,171.72,173.63
2004-10-31,173.82,174.27,173.53,174.25
2004-11-30,174.38,176.55,174.38,176.33
2004-12-31,176.38,179.71,176.38,179.71
2005-01-31,179.92,180.25,179.05,180.25
2005-02-28,180.34,184.34,180.34,184.34
2005-03-31,184.82,184.94,183.72,184.47
2005-04-30,184.91,185.51,184.91,185.2
2005-05-31,185.08,187.11,185.08,187.11
2005-06-30,187.79,190.91,187.79,190.91
2005-07-31,190.95,191.6,190.34,190.37
2005-08-31,190.29,192.07,189.98,192.07
2005-09-30,192.49,194.23,192.49,193.27
2005-10-31,193.09,193.26,191.04,191.04
2005-11-30,191.14,192.13,189.71,191.65
2005-12-31,191.36,193.15,191.36,192.73
2006-01-31,192.28,194.2,192.28,193.43
2006-02-28,193.61,196.18,193.61,196.16
2006-03-31,196.42,196.91,195.59,195.97
2006-04-30,195.91,196.8,195.82,196.08
2006-05-31,196.01,196.26,195.2,196.07
2006-06-30,195.91,196.14,193.12,193.83
2006-07-31,193.88,195.83,193.69,195.38
2006-08-31,195.18,195.81,195.15,195.42
2006-09-30,195.76,196.84,195.52,196.22
2006-10-31,196.31,198.1,196.31,198.03
2006-11-30,198.29,199.37,198.29,199.18
2006-12-31,199.16,200.55,199.16,200.26
2007-01-31,200.3,201.64,200.3,201.14
2007-02-28,201.38,201.69,201.02,201.02
2007-03-31,201.19,202.2,201.19,202.2
2007-04-30,202.25,202.49,202.04,202.46
2007-05-31,202.37,203.5,202.37,203.45
2007-06-30,203.59,203.83,202.41,202.58
2007-07-31,202.62,203.7,202.54,203.34
2007-08-31,203.12,203.66,202.33,202.74
2007-09-30,202.92,204.37,202.92,204.37
2007-10-31,204.42,205.01,204.13,204.52
2007-11-30,204.6,204.6,202.54,203.15
2007-12-31,203.08,203.57,202.65,203.55
2008-01-31,203.53,205.41,203.2,205.28
2008-02-29,205.58,205.85,203.22,203.22
